bg_name,total_pop,male_pop,female_pop,white_pop,black_pop,hispanic_pop,median_income,poverty_count,median_home_value,state,county,tract,block group,blockgroup_id
"Block Group 2, Census Tract 208.04, Berkeley County, South Carolina",618,380,238,466,152,5,40000,,109700,45,015,020804,2,450150208042
"Block Group 1, Census Tract 208.04, Berkeley County, South Carolina",1865,925,940,917,557,273,53397,,143300,45,015,020804,1,450150208041
"Block Group 2, Census Tract 207.07, Berkeley County, South Carolina",2018,1014,1004,1515,250,232,58352,,166200,45,015,020707,2,450150207072
"Block Group 1, Census Tract 207.07, Berkeley County, South Carolina",2810,1295,1515,2020,688,124,87072,,227000,45,015,020707,1,450150207071
"Block Group 3, Census Tract 207.07, Berkeley County, South Carolina",2057,964,1093,1190,791,79,56818,,171400,45,015,020707,3,450150207073
"Block Group 1, Census Tract 204.01, Berkeley County, South Carolina",1768,792,976,670,992,55,31406,,95000,45,015,020401,1,450150204011
"Block Group 2, Census Tract 209.01, Berkeley County, South Carolina",1294,485,809,839,345,200,42955,,163400,45,015,020901,2,450150209012
"Block Group 1, Census Tract 209.01, Berkeley County, South Carolina",683,310,373,527,124,49,44219,,144800,45,015,020901,1,450150209011
"Block Group 1, Census Tract 206, Berkeley County, South Carolina",1712,829,883,1225,433,40,71058,,171600,45,015,020600,1,450150206001
"Block Group 2, Census Tract 210, Berkeley County, South Carolina",709,370,339,622,87,0,30197,,128900,45,015,021000,2,450150210002
"Block Group 3, Census Tract 210, Berkeley County, South Carolina",1480,833,647,1056,205,354,54821,,112200,45,015,021000,3,450150210003
"Block Group 1, Census Tract 205.03, Berkeley County, South Carolina",772,361,411,424,331,17,42431,,135100,45,015,020503,1,450150205031
"Block Group 3, Census Tract 205.03, Berkeley County, South Carolina",1767,986,781,1625,81,22,97200,,257400,45,015,020503,3,450150205033
"Block Group 1, Census Tract 205.04, Berkeley County, South Carolina",1956,1010,946,817,1103,36,46356,,95000,45,015,020504,1,450150205041
"Block Group 2, Census Tract 205.04, Berkeley County, South Carolina",1689,869,820,850,758,8,65536,,171100,45,015,020504,2,450150205042
"Block Group 1, Census Tract 201.01, Berkeley County, South Carolina",1023,444,579,274,737,0,41801,,85300,45,015,020101,1,450150201011
"Block Group 1, Census Tract 203.02, Berkeley County, South Carolina",2306,1184,1122,817,1418,0,54827,,97900,45,015,020302,1,450150203021
"Block Group 2, Census Tract 204.04, Berkeley County, South Carolina",2645,1206,1439,2490,70,252,110139,,311700,45,015,020404,2,450150204042
"Block Group 1, Census Tract 204.04, Berkeley County, South Carolina",2429,1080,1349,1606,697,156,78720,,359300,45,015,020404,1,450150204041
"Block Group 1, Census Tract 204.05, Berkeley County, South Carolina",3405,1513,1892,1327,2024,14,56813,,114400,45,015,020405,1,450150204051
"Block Group 2, Census Tract 203.01, Berkeley County, South Carolina",1485,657,828,1361,0,16,55040,,131700,45,015,020301,2,450150203012
"Block Group 1, Census Tract 203.01, Berkeley County, South Carolina",2058,1034,1024,1573,434,0,49844,,125700,45,015,020301,1,450150203011
"Block Group 2, Census Tract 202.01, Berkeley County, South Carolina",2175,1025,1150,1117,1023,51,29904,,81300,45,015,020201,2,450150202012
"Block Group 1, Census Tract 202.01, Berkeley County, South Carolina",1501,629,872,563,925,3,32500,,134800,45,015,020201,1,450150202011
"Block Group 2, Census Tract 205.03, Berkeley County, South Carolina",2285,1130,1155,1594,565,0,50203,,-666666666,45,015,020503,2,450150205032
"Block Group 2, Census Tract 204.03, Berkeley County, South Carolina",1242,627,615,1203,0,32,161181,,1126100,45,015,020403,2,450150204032
"Block Group 1, Census Tract 204.03, Berkeley County, South Carolina",6788,3302,3486,6308,272,167,119250,,607200,45,015,020403,1,450150204031
"Block Group 1, Census Tract 207.15, Berkeley County, South Carolina",2530,1247,1283,1667,703,225,47412,,132000,45,015,020715,1,450150207151
"Block Group 2, Census Tract 207.19, Berkeley County, South Carolina",2383,1013,1370,1896,282,398,72545,,221700,45,015,020719,2,450150207192
"Block Group 1, Census Tract 209.03, Berkeley County, South Carolina",2105,1124,981,1804,284,62,48083,,250500,45,015,020903,1,450150209031
"Block Group 2, Census Tract 209.03, Berkeley County, South Carolina",1718,859,859,1529,64,109,81029,,191700,45,015,020903,2,450150209032
"Block Group 3, Census Tract 208.09, Berkeley County, South Carolina",2515,1341,1174,1266,774,325,50932,,108200,45,015,020809,3,450150208093
