blockgroup_id,total_pop,white_pop,black_pop,hispanic_pop,median_income,poverty_count,total_arrests,unique_individuals,discretionary_arrests,discretionary_per_1000,total_per_1000,unique_per_1000,cumulative_pop,cumulative_pop_pct,kmeans_cluster,policing_category
450190039003,28,21,7,0,-666666666,,210,84,60.0,2142.8571428571427,7500.0,3000.0,28,0.0013858381202491738,2,Ultra-Policed
450190037001,801,209,571,79,34643,,985,208,527.0,657.9275905118602,1229.712858926342,259.6754057428215,829,0.041030707203091606,1,Ultra-Policed
450190038001,1106,65,1013,3,43462,,1329,290,654.0,591.3200723327305,1201.627486437613,262.2061482820977,1935,0.09577131295293397,1,Ultra-Policed
450190040001,694,77,600,24,24327,,759,135,400.0,576.3688760806916,1093.6599423631123,194.52449567723343,2629,0.13012030064768135,1,Ultra-Policed
450190043001,304,58,246,49,-666666666,,382,113,166.0,546.0526315789474,1256.578947368421,371.7105263157895,2933,0.14516654309610094,1,Ultra-Policed
450190055002,527,77,450,0,26042,,668,175,267.0,506.64136622390885,1267.5521821631878,332.0683111954459,3460,0.1712499962879336,1,Ultra-Policed
450190053002,722,257,434,43,18672,,632,250,315.0,436.28808864265926,875.3462603878116,346.26038781163436,4182,0.20698482210293018,1,Ultra-Policed
450190033004,1373,138,1235,62,42115,,1202,214,579.0,421.70429715950473,875.455207574654,155.86307356154404,5555,0.27494038421371997,1,Ultra-Policed
450190031112,616,85,444,87,-666666666,,410,111,224.0,363.6363636363636,665.5844155844156,180.19480519480518,6171,0.3054288228592018,1,Ultra-Policed
450150207122,1888,1765,18,28,42361,,1069,190,666.0,352.7542372881356,566.207627118644,100.63559322033898,8059,0.39887390753886043,1,Ultra-Policed
450190033003,532,249,279,48,20610,,712,209,187.0,351.50375939849624,1338.345864661654,392.85714285714283,8591,0.4252048318235947,1,Ultra-Policed
450190053003,684,5,679,0,18696,,612,199,228.0,333.3333333333333,894.7368421052631,290.93567251461985,9275,0.45905887733253875,1,Ultra-Policed
450150202011,1501,563,925,3,32500,,946,178,488.0,325.1165889407062,630.2465023317789,118.58760826115923,10776,0.5333496994216105,1,Ultra-Policed
450190043003,971,44,823,0,18250,,755,231,293.0,301.750772399588,777.5489186405767,237.89907312049434,11747,0.5814085856631087,1,Ultra-Policed
450190055001,970,96,798,15,25896,,774,241,289.0,297.9381443298969,797.938144329897,248.4536082474227,12717,0.6294179776860265,1,Ultra-Policed
450190043004,857,72,785,26,23462,,658,188,248.0,289.3815635939323,767.7946324387398,219.3698949824971,13574,0.6718345230093673,1,Ultra-Policed
450190031063,2707,1314,1109,85,43434,,1658,333,780.0,288.14185445142226,612.4861470262283,123.01440709272258,16281,0.8058153727063142,1,Ultra-Policed
450150208092,472,388,0,22,49583,,342,55,134.0,283.8983050847458,724.5762711864406,116.52542372881355,16753,0.8291766438762288,1,Ultra-Policed
450190034003,820,218,526,198,20441,,566,143,207.0,252.4390243902439,690.2439024390243,174.390243902439,17573,0.8697619031120974,1,Ultra-Policed
450190038002,633,182,451,128,12132,,569,170,158.0,249.60505529225907,898.8941548183254,268.56240126382306,18206,0.9010917434734448,1,Ultra-Policed
